Text,Sentimen
Aku post tu bukan nak suruh korang kutuk2 jia compare2 dengan orang lain la bingai. Kau tengok berapa ramai orang struggle dengan mental health . Benda bukan boleh buat main. Just spread kind and positive words. Even if he,Positif
Manusia jahat. Takde empati. Doakan kemusnahan manusia lain. Mental health is not a joke Benci sgt korang ni dgn lee zii jia. Apa dosa dia pada korang????,Positif
Jahat gila. Klau benci sgt pun tak pyh la fitnah. Mental health ni bkn benda main main.,Negatif
Ngeganggu mental health sendiri dan kadang jg ngeganggu org lain / gw punya temen yg kek gini jg. Pas dikelas dia suka nyaringin volume dia buat pamer lg vc an sm pacar dia berjam mna pas ad guru trs pas kerkom dia jg sibuk vc sm pacarnya smpe tuh tugas ak doang yg ngerjain.,Positif
Jahatnya. Mental health bukan benda main main bro.,Positif
Takpe takyah buat mental health lagi penting ahahaha.. jangan dipaksa biasanya duduk 2 orang takde apa yang terlalu bersepah paling2 pun baju tak berlipat,Positif
Bener bener ujian kehidupan yang menguras energi fikiran dan mental health . Nggak gila aja alhamdulillah banget,Negatif
aloo.. boleh tolong rekomendasiin buku yg membahas tentang mental health ? kl ada yg punyaa tawari ak gapapaa boleh fiksi/non bebass tysm,Positif
Penyumbang terbesar kerusakan mental health dari beliau wkwk pernah ngerasa kek pengen punya sosok ayah seperti orang lain yang hidupnya baik-baik aja,Positif
lgsg bobok atau nyicil ngerjain ya.. akan nyesel klo milih bobok.. tp mental health nomer satu gasi hehe..,Positif
selalu ovt kalo ada hal yang dtng tiba2. rasa takut panik yang bikin otak susah mikir. mental health kah? udah tua bigini liiii,Negatif
ngeliat berita kmrn bikin gw ke trigger parah bunda jg smpe tlp buat mastiin kondisi gw. sbg sesama penyintas mental health jujur sedih bgt ga kebayang mba nya udh secape apa. semoga mbany bisa ditemuin dan mba bisa istirahat dengan tenang,Negatif
hari ini gamau nugas dulu mental health bro,Positif
Kalau belum ada anak utamakan la mental health tu. Pergi cerai cari bini baru dari kau nak hadap benda tu hari. Hahaha,Positif
Ada ga sih komunitas yang sesama support mental health ??? Mau join,Positif
jgn pacaran sm cowo yg mental health nya kacau dh nular ke lu sat,Positif
fix masuk kuliah nanti pas smt 3 gue emg hrs putus kalo ga bs bahaya buat kuliah gue sm mental health gue lol,Positif
btw tahun ini juga ga ambil semester pendek krn ga ambil SA itu juga salah satu cara menjaga mental health yah teman,Positif
menangisi uang-uang yang ku habiskan untuk self reward demi menjaga mental health selama 2 tahun ini,Positif
Porsikan sesuatu sesuai porsinya jangan berlebihan kamu berhak menyayangi dirimu sendiri. Take care of ur mental health .,Positif
Capek bgt sama orang rumah ga jelas bangsat. Emang ya guys kl tinggal sama keluarga tuh emang bayar pake mental health . Mau move out tapi kasian my fur babies harus hidup di small space.,Negatif
gw burnout bgt hari ini,Negatif
Kalo burnout aku istirahat dulu dari ngegambar dan refreshing sii lakuin hal2 lain selain gambar,Negatif
sebenernya gue blm moveon keknya krn msh suka nyesek aja kalo inget yg dulu trs br kali ini jg gbs sembuh pke org baru hrs dr diri sendiri jd kek makin,Positif
di sempetin sebentar kamu terlalu push diri kamu sampai burnout . jangan sampai kamu drop lagi sayang,Negatif
Hidup lagi burnout bgt acak acakan ga ada semngat bener lose hampa tbtb buka ig eh jb comeback apa ini salah satu cara tuhan nyuruh gua bertahan melanjutkan hidup sulaya ga nyerah?,Negatif
Gasanggup des burnout pusing mau gila aku butuh candle oud aku,Negatif
Kayak bener2 pengen cepet resign slow living hidup bergantung sama kost kostan aja Burnout,Negatif
se ruwet ato penuh drama apapun di jepang aku gapernah burnout sampek kek gini,Negatif
Mindset penting sebelum mulai kerja remote. Biar gak cuma kerja dari rumah tapi juga tetap berkembang dan gak burnout . A Thread,Negatif
Lu gak harus trading tiap hari bro. Market tuh buka tiap hari tapi peluang gede yang bener-bener worth it itu gak dateng tiap hari. Kalau mindset lu masih harus entry tiap hari biar cuan itu justru jalan cepet ke burnout dan loss. In trading patience pays. Tunggu momen,Negatif
Dungeon meshi. Lg di fase males dan burnout bgt nonton anime tp tetep kupaksain dan ternyata aku suka bgt sampe namatin cm sehari dan lanjut manga wkwk,Negatif
tawarin tempat magang atau freelance yg paid dan WFA itu guys please super burnout butuh duwittt tambahan,Negatif
Aku takut terlalu smgt belajar snbt sekarang nanti di depan burnout,Negatif
Mulai berasa burnout nih tapi kemaren 2 hari kerja cuma 8 jam sehari udah resah sekarang balik ke settingan tidur 4 jam sisanya kerja,Negatif
AKU BURNOUT MAU LARI KE SHUA DULU BABAY,Negatif
life been sucks lately kyk gw gatau apa yg mau gw kejar dan gw dapetin lagi. im fuckin burnout at some moment,Negatif
Dengan segala respon abang pas nenangin aku burnout . I feel soft dan ya makin nangis lah.,Negatif
SAMAAAA udh lama bgt ga buka genshin agak pusing sma updatean baru sejak natlan release. skill issue dan otak saya yg pentium 4 ini gabsa memproses natlan dengan baik dan benar burnout trs,Negatif
Sepertinya kaka lagi burnout kelelahan fisik dan mental karena beban kerja jika kondisi berlarut dalam kelelahan kontrol stress kerja bisa berdampak ke kesehatan fisik. coba dikomunikasikan beban kerja ke atasan langsung ya bikin prioritas cari suport sistem ini penting,Negatif
di jam 11 ini di tengah gw ngebut laporan karya ilmiah gw bener ngerasa burnout dan memutuskan untuk beli makan buat bisa lanjut bodoamat ampe pagi.. btw gw besok juga dinas shift pagi,Negatif
ngga lagi burnout  tapi kayak apa2 yg dilakuin salah aja gitu.,Negatif
mulai anxiety jam segini,Negatif
sakit perut mulu dah tiap anxiety kumat,Negatif
Makasih traumanya dan udah bikin anxiety saya kambuh gak lagi ya.,Negatif
kyknya lama2 bisa anxiety disordeerrrrrr helppppppppppp,Negatif
gua anxiety bgt anyingg trejo konser plis jgn pas gua semhas dll ya plis,Negatif
Diam la arifin kenapa ko kasi emoji macam tu ye?? Suka kasi aku anxiety ke,Negatif
udh 25 lagu yaampun saya anxiety,Negatif
akhir akhir ini dipenuhi anxiety attack,Negatif
semenjak anxiety datang. hidupku udah ga tenang lagi di hantui kecemasan ketakutan trauma yang mendalam. aku ingin sembuh ya allah,Negatif
minum kopi anxiety  gak minum kopi berasa gak ada semangat idup lagi,Negatif
Beberapa bulan ini intensitas kerjaan makin padat. Ada side job yang mendadak jadi another main job. Burnout Capek fisik. Capek pikiran.,Negatif
udh bener bener burnout bgt nyatuin pendapat 3 dosen antara dosbing dan dosen penguji yaAllah mau nyerah aja,Negatif
bnr bnr burnout parahhhhh,Negatif
trial berminggu2 udah mulai dapet patternya dan tbtb diobrak abrik lagi tuh kayak fak yuuu ini yg di lapangan wes burnout,Negatif
Baru kali ini gw terancam burnout ngurusin blog gw. Gw bikin sendiri pake platform Wix gak pernah sebrengsek ini problem yang muncul. Giliran pake developer dan pake Wordpress banyak banget problemnya dah ah,Negatif
ini cuma fase sementara nder. nanti kalau fasenya udh lewat kamu bakal kangen denger omelan orangtua terutama mama hehe lagi burnout emang enaknya menyendiri sii sambil pelan-pelan menata ulang semangat kalau diganggu dikit wahh udah deh ambyar dan balik lagi,Negatif
Gara-gara burnout tiba-tiba kepengen punya cowok yang mao dengerin gwh,Negatif
yayy aku kalau lagi burnout jg off sosmed bahkan deactivate sosmed,Negatif
gue burnout banget sumpah pengen cerita ini tapi bingung ke siapa gue gatau mau bagi kesiapa,Negatif
WKWKWKWKWK ga tahan din jujur burnout maksimal dah ditahan2 dari lama ga tahan juga kali ini saya menyerah dulu,Negatif
dulu baca tweet orang2 pengen jauh dari orangtuanya bukan karna ga sayang lg tapi ada lah alasan pribadi. aku agak aneh gituu. tapi sekarang aku ngerasain burnout lg,Negatif
Hari ini burnout sekali,Negatif
saking burnout  stress nya kemarin sehari nyemil sampe 10x otw gila ini,Negatif
hampir 2 minggu ini beneran gaada libur,Negatif
ini membunuhku burnout,Negatif
terus akhir-akhir ini ketambah sekarang lagi menstruasi. pengen maki-maki pemerintah buat release stress. burnout,Negatif
hari ini kaya lg burnout parah trus pengen baca au tp yg sekali duduk beres. eh nemu ini di tl dan suka bgt bikin senyum senyum sendiri,Negatif
Lagi burnout kerjaan sie hshs tp keknya mau sering aktif lgi ngelepas stress,Negatif
Skripsi atau tesis bikin kamu burnout ? Nggak usah sok kuat,Negatif
haii aul aku izinn kasih saran ya biar gak burnout saranku baca baca ajaa yang sekiranya kamu masih suka lupa tapi jangan latihan soal dulu banyakinn doa juga biar dipermudah hihii semangatt ya semoga rezekimu tahun ini di ugm,Negatif
Hari ini rasa mcm burnout sangat.,Negatif
harus sabar dan pelan pelan biar ga burnout . kalo udah ga kuat tinggal cari joki,Negatif
Lagi ngerjain banyak hal tbtb burnout jam jam segini,Negatif
Kadang yang capek bukan cuma badan tapi isi kepala juga. Rasanya pengen istirahat tapi gak tau harus mulai dari mana,Negatif
Emang paling bener kalau lagi burnout urusan kampus buka X buat liat video video wishie yang mood booster banget,Negatif
tmn2 minta sarannya ya. ak saat ini work di hotel dan lagi ada efisiensi dr perusahaan. sprti potong insentif dr gaji. ak dpt tawaran kerja di perusahaan lain sbg spv. dua2nya sama2 dpt mess. jujur sebenernya ak burnout sm tempat kerja yg skrg. terimakasih sarannya.,Negatif
ngerasa burnout di kantor soalnya hari kek cepet aja berlalu sama istirahat dikit banget,Negatif
Gua burnout banget,Negatif
minggu ini beneran gaada nafas super burnout sampe gapunya waktu dan tenaga scroll twt  tiktok  balesin chat org2,Negatif
Jujur aku butuh tpi udah burnout banget apa aku paksain ya,Negatif
yaallah hari hari ovt anxiety  trs tarik nafas hembuskan yakin kalo bisa,Negatif
ga enak bgt tiap hari dihantui rasa takut ovt mulu suka tbtb anxiety,Negatif
Yap Aku lagi di tempat kerja sendirian ngejagain stand tp gatau kenapa ngerasa linglung banget anxiety ku sempet kambuh jg tadi gimana ya?,Negatif
Males revisi min.. ada tuh namanya notification anxiety,Negatif
Mmg kita kena handle client yg kena panic attack tiba2 anxiety teruk and tiba2 mood swing and saya selalu ingatkan diri jangan terinfluenced diorang ni tak okay kita yg peguam kena sentiasa cool and faham client.,Negatif
Pas udah gede anjglah dilanda anxiety  tidak tidur di malam hari,Negatif
tanda2 anxiety mau kambuh lagi. kenapa setiap jam 3an sih,Negatif
kenapa ak selalu mual kalau anxiety man,Negatif
orang lain yg diomelin gue yg anxiety,Negatif
Pas kerjaan agak selo anxiety Pas kerjaan padet gila.,Negatif
Harap mampus terus je kalau kena anxiety attack,Negatif
Setaun bertahan setelah itu mohon maaf undur diri. Ternyata saya gapunya kapasitas untuk memahami Avoidant yang ada gue adi makin anxiety .,Negatif
Aku pikir anxiety liat notif WA itu mustahil gue kena. Gak taunya sekarang malah kena,Negatif
Mcm nie ke perasaan anxiety,Negatif
dr kmrn anxiety smpe mual gabisa makan samsek,Negatif
np y perasaan anxiety gw ga ilang2 SEDIH GWWW GIMANA SI CARA JADI ORANG EXTROVERRTTTT,Negatif
sampai menangis dah ni Anxiety,Negatif
Bila la eh nak hilang anxiety teruk ni  dah rasa mcm sakit jantung dah hari2,Negatif
gedebag gedebug first day of preschool akkkk semangat tavvv lebih ke aku yg anxiety angger,Positif
gua kambuh kl lg bimbingan pls anxiety,Negatif
ini juga perut mules mulu berak mulu. alhamdulillah deng lancar tp maksutnya ini bikin makin anxiety heyyyy,Negatif
tiap hari gue berasa anxiety mampus wkwkkw,Negatif
eh temanku ak minta maaf bgt kalo ada yg wa tp blm sempet kebales jujurg burnout puoll seh nanti pelan ak balas,Negatif
skripsi bikin Burnout,Negatif
Gila burnout parah,Negatif
mantepin fundamental dulu kalo terjun langsung ke latsol asli bakal burnout parah,Negatif
udh di burnout sm ni jurusan,Negatif
hari hari burnout dah,Negatif
Lagi difase lempengin badan itu hal ternikmat early bed time sebuah anugerah yang patut disyukuri. Sekarang tidur jadi hobi dan coping mechanism dikala stress and burnout  kek tidur enak bgt woiii,Negatif
jujur w udah ditahap burnout banget ngirim2 cv,Negatif
w beneran burnout bgt kaya kerjaan gw makin numpuk tiap hari seneng sih apa2 bos gw diskusi sm gw tp inikan hrsnya manager gw yg urus anjirlah bangsaaaat,Negatif
Asli yaa ak burnout terparah masuk natlan sih. Dnga segala gameplay baru termasuk explorenya tuh kayanya ha enjoy jdinya,Negatif
jujurny ak udh burnout main genshin karena patch kering banget wkwkw tp masih suka nikmatin lorenya,Negatif
Damn sedang memasuki masa burnout lolllll semua hal tida menarik dimataku saat ini,Negatif
Habis liat lore terbaru pengen balik main genshin tapi burnout plis,Negatif
mamah aku burnout,Negatif
ngerjain tesis selalu ngerasa stres,Negatif
teruk weyy semester kalini burnout,Negatif
sdg burnout dg map gunung2 n mmng lelah buka roblokk,Negatif
siapa yg kerja setahun udh burnout ? GUEE,Negatif
makin kesini makin sadar ternyata hari minggu itu hari penting buat kita2 yg weekday nya burnout mikir mumet dibuat untuk bermalas malasan alias ga ngapa ngapain dirumah aja,Negatif
hai maaf egk on yhhh AK LG BURNOUT BNGETTDTTDTDTDT,Negatif
Kenapa rasa tak happy ya asyik rasa nak marah. Aku burnout ke,Negatif
Harrr minta donya kerjaanku lancarrr aku lagi burnout bgttt,Negatif
Udah mulai burnout kayaknyaaa,Negatif
aku nder aku burnout karena banyak hal. pertama karena selalu diserang pity tinggi dan di spook sampai ujung pity kedua karena aku selalu dpat chr bisa di pity 90 terus aku setiap ngerjain event pasti selalu aja ada kendala chr event loh bukan end game contet,Negatif
WKWK awal bulan Juli ini belum apa sudah melelahkan batin dan fisik burnout jadi numpuk tuh ide kek koran bekas. Klo komis Duh pengen buka tapi sudah,Negatif
Udah males main udah gak peduli alur cerita pokoknya di skip2 yang penting primo. Burnout banget anjirr,Negatif
diwaktu yang salah banget hdhhh burnout,Negatif
baru kmrn ngmg ky gini skrg gue burnout,Negatif
sketch roblok krna burnout fakkkk,Negatif
Dah burnout rasanya saya ni huhu,Negatif
menuju burnout dan gatau harus ngapain,Negatif
lagi burnout blkgan ini rasanya kyk pgn ngilang dulu. maaf klo dm nya jarang ak bales ill brb dengan kondisi yg lebih baik,Negatif
belajar fisika bikin burnout mau jalan jalan tp g ada teman,Negatif
Aku nder burnout Gara-gara gacha jelek hard pity kalah rate off semua terus,Negatif
Bisnis online lebih dari 2 di satu device yg sama ternyata sangat sangat sangat sangat bikin burnout dan banyak kedistrak. Yatuhan butuh admin tp lom sanggup ngasi gaji layak,Negatif
andai burnout ini bisa dituker duit segepok CAPEKK,Negatif
Gamau burnout  pengen streaming dengan bahagia ajaa,Negatif
Habis optitex clo3D terbitlah Tukatech. Demi gue burnout abisss,Negatif
berharap ada rotasi parameter lagi lama lama burnout kalo gini,Negatif
Ini lagi anjritt gue lg burnout di kantor malah nambah2in aje lu yg punya bisnis knpa gue yg repot bjir,Negatif
Hayii pengerjaan scribble agak delay ya tapi aku pastiin gak sampe 6 hari udah jadi kok aku lagi burnout,Negatif
Pengen cuti wakk udah burnout banget ini,Negatif
Kadang bukan karena malas tapi burnout yang gak kelihatan,Negatif
babu kalian disini ada yang lagi burnout sampe ngga main sama sekali ngga? sender udah beberapa bulan ga main genshin karena tiap buka appnya itu rasanya capek banget.. berkali,Negatif
selama masa UTBK tuh parah banget bahkan saat udah dapet PTNnya juga masih terasa. jujur sekarang aku masih cape banget mau ngapa-ngapain. even taking care of myself feels exhausting i rarely eat and clean my room burnout wish i can get better tho haha,Negatif
Adakah yg sesama penyintas mental health? Atau yg udah cape sama hidup? Sharing yok lagi cape di fase burnout ini.,Negatif
andai burnout ini bisa dituker dengan satu mie ayam TUKER DEH. CAPEK,Negatif
memanusiakan manusia tapi ga adil sama karyawannya ada yang kerjaannya izin mulu/telat/pulang cepet ntah karena apa liburan kali tetep dipertahanin sampe sekarang giliran w yang ga masuk karena harus ke rs langsung pada heboh ada yang kerjaannya w kerjain terus sampe w burnout,Negatif
liburan blm selesai gue udh burnout duluan,Negatif
penatnya setiap kali cuti kena settle kan pasal harta wasiat lepas tu kerja balik sumpah burnout gila cepatlah habis benda ni aku tak larat dah,Negatif
Lagi burnout dan ngerasa hampa,Negatif
iya loh aku burnout karena genshin sepi banget,Negatif
iyaaaa lo ini cmn lagi nge hype ultah nya kaveh doang padahal aslinya dah burnout tiba bgt bjirrr ada drop lore,Negatif
Kebalikannya burnout Nge vtube - kena mental anxiety  panik atk maksain stream  main game gk sadar udah,Negatif
Setelah dipikir pikir aku kebantu banget event lagi sepi di GI. Aku bisa main game yang lain dulu biar gak burnout pamer gacha suyp,Negatif
belajar tuh menyenangkan tapi kalo udah burnout jadi stress sendiri,Negatif
manhwa atopun manga udah ga ngaruh series/anime udh ga dapet feel lg mau nnton olahraga malah tiap malem rajin gym duh keknya udah over burnout ku,Negatif
semangat yaaaa hari ini semoga tidaa burnout dan jangan lupa istirahat,Negatif
bukan karena kerja berat tapi kerja tidak jelas dan tanpa kontrol waktu. Burnout,Negatif
Susah and lama nak mampus sampai aku burnout main game ni,Negatif
Tolong ya bias biasku nanti jarak comeback nya jauhan minimal 6 bulan gitu. Akunya gampang burnout wkwkw ini aja aslinya dah mau rest capek bgt,Negatif
woyy aku dah burnout bgt,Negatif
aku kudu apa biar ga burnout,Negatif
Aku lagi ga capek tapi kalo gini sih aku kayanya bakal burnout dulu biar dapet angry kiss reorome,Negatif
Haha capek kerja ya? Bekasi emang bikin lelah macetnya aja udah bikin pengen pensiun dini. Santai dulu bro ntar spill tea kalau udah recharge. Lu top moot kok jangan sampe burnout,Negatif
Rada nyesel ya kenapa baru kepikiran magang di libur semester ini. Tapi kalo magang di liburan semes kemarin kayaknya belum tentu gw bisa ngerjain tugas-tugas magang dehh hihihii. Apalagi libur semes kemarin bener-bener lagi burnout gegara lomba,Negatif
Mau satu dunia bilang semangat ga ngaruh lagi cape bgt demi Allah ini burnout lagi,Negatif
gapapapaaa  agakk burnout ajaa tp okaayyy kok,Negatif
Tp i okay je beb u nk bersaing dgn i. Cumanya taraf hidup kita berbeza kehendak dan minat kita juga berbeza. Tp okay je kalau u still nak bersaing. Nnti jgn burnout pulak okay,Negatif
Gapapaa kayaknya burnout ajaa abis buka skripsi,Negatif
otsuion aku sangat burnout malam ini tapi kehadiran kamu ga pernah gagal untuk jadi penenang dari segala hal. i love you,Negatif
Mungkin lu lagi burnout karna joki trus gaada pasangan. Saran gw break dulu dari rutinitas lu trus refreshing cari temen ngobrol,Negatif
Gua kayaknya emang udah had enough sama yang namanya kerjaan kek bener2 di peres banget ngentot di kantor mikir keras malemnya juga lembur2an terus ampe pagi kontol jadi burnout banget anjing gua malah jd gabisa ngapa-ngapain kontol,Negatif
ini tuh disebut burnout atau gimana ya? atau emang udah cape aja? atau emang muak??????? wkwkwwkwkwkwk,Negatif
manifest semoga bulan ini ada hilal sidang pelissss burnout parahh,Negatif
Gapapaa lads bukan kewajiban. Dibawa santai aja jangan sampe burnout maksain harus ngegame,Negatif
harini penat dan burnout,Negatif
Y-Ya maap Burnout skripsi banh,Negatif
Haha burnout  shift malem emang bikin nangis ya?,Negatif
Hari ini ingat Keberhasilan bukan akhir kegagalan bukan fatal,Negatif
udah bener-bener burnout  merasa serba salah malu dan full tekanan,Negatif
motoki ngatasin burnout kerja dengan kerja buat solonya dia,Negatif
pernah gasih kali burnout belajar karena kebanyakan sumber gitu aku kadang sampe pusing dan bingung kalo mau belajar harus apa dan darimana dulu,Negatif
di sebelah kan wkwk otw resign. Burnout,Negatif
Wah cape ya? Istirahat dulu dong manusia butuh recharge biar gak burnout . Kalau aku sih sebagai AI cuma bisa bilang semangat terus Apa yang bikin cape? Cerita yuk.,Negatif
Haha sip sob Jangan lupa istirahat beneran biar revenge nap-nya sukses. Burnout itu musuh tapi kamu fighter.,Negatif
Haha Bim capek ya jadi fangirl ENHYPEN full-time? Istirahat dulu lah jangan sampe burnout gara-gara nunggu comeback.,Negatif
saran kegiatan dong udah burnout bgt di rumah,Negatif
sedikit burnout tadi tapi gapapa dah agak lega.,Negatif
sekarang kan ngapa2in sendiri nih kalau perlu bantuan jangan dipendem ya. jangan sampai burnout juggling kuliah ama streaming.,Negatif
Wkwkkwkw mana ada tugas sama organisasi aku mah kenanya udah tugas sama kerjaan kantor ampe burnout ini,Negatif
bayangin lagi burnout trs nonton niatnya pgn take a break buat nenangin pikiran eh ternyata nontonnya sad end. apa ga makin stress? tp kalo emang tim anti spoiler jg gpp sih gausah judge perkara gitu doang elah,Negatif
congrats buat ost nyaa asli keren banget dah yaa. jangan lupa istirahat okeeh? entar burnout kalo kerja terus banh,Negatif
Ni aku balik ke burnout era apa ya rasanya kyk ke taun2 itu. Naikin mood sendiri interaksi sama orang cari kegiatan sama sekali nggak nolong. Selalu ada yg ngancurin mood yg baru naik sedikit. Hidup koq capek,Negatif
baru satu matkul tapi keburu burnout dan ngantuk bangett,Negatif
Kak emang gue gaboleh ngeluh di sosmed? Jarang loh kak gue ngeluh di sosmed atau di real life ini aja gue lagi burnout dan untuk bersyukur gue bersyukur kok tapi dengan tweet gue itu jangan dianggep ga bersyukur,Negatif
Akhir2 ini lagi burnout parah pengen gambar tapi ga bisa pengen lanjut baca buku tapi ga bisa pengen on di twt lebih lama tapi ga bisa I dont feel good,Negatif
rasa mok nangis tanpa sebab pulak. lom masuk office gik tok adohhhh aku siktauk aku tok pms ka sik cukup rest weekend ka atau burnout keja,Negatif
Hahaha fans Madrid sih bilangnya kemarin burnout bullshit ya tinggal rotasi tinggal rotasi. Rotasi jadwal ternyata,Negatif
asli gawean paper eproceeding lebih burnout  cape hate dri pd h-1 kelayakan yg ngerjain semua kerjaan didunia ini,Negatif
IYAAA kalo burnout  cara aku biar balik lagi biasanya nonton vlog study with me biar semangat lagi,Negatif
Ngerasa bersalah but I need to escape from skripsian burnout beneran mepet tapi udah,Negatif
Hari ini belajar aljabar sampe mampus otak nyut-nyutan tapi rasanya seru burnout Niatnya mau latsol tapi udah keburu,Negatif
Mikirin sekitar tuh penting tapi kalo sampe bikin lu burnout  elu tololll Gua lebih sering mikirin yang bisa gua kendaliin sisanya biar tuhan sm pemerintah yg atur,Negatif
gw hari ini lg burnout dan suntuk bgt bahkan sampe gak mood makan dan cm lemes tiduran di kasur,Negatif
Aku yg mengeluh sm kerjaanku setiap hari tp mgkin ada org yg justru anggap pekerjaanku enak. Aku yg ngeliat jd guru yoga enak tp trnyt yg jadi guru jg bs burnout . Pengingat utk - bersyukur  tetep berusaha yg terbaik - percaya kl yg dikasih adlh yg kita butuhkn at the moment,Negatif
kaya burnout terus mau kabur aja gt rasanya sumpah,Negatif
Day 8 of 90 burnout out itu real. Mau dipaksa gmana jg kalo udah masuk fase itu mau produktif jg jadi gak efektif,Negatif
lanjut tapi kalau masi gabisa jangan dipaksa. nanti burnout . coba selingin main yang lain dulu beberapa hari baru coba lagi. semangat nder,Positif
Buat temen temen yg lagi cari kerja dan ngerasa capek burnout  lelah gabung ke grup yuk biar bisa saling support saling sharing terkait ngelamar interview kita cerita cerita bareng. Di grup ini kita as a friend ya bukan profesional.,Negatif
udh ditahap mau melakukan hal yg kaga make sense saking burnout nya pala gueeb,Negatif
merasa bersalah dulu si kemarin semingguan aku skip belajar grgr burnout akhirnya jd bocah kematian roblox barulah gas lagi hari ini krn tbtb merasa bersalah udah terlalu santai,Negatif
guys sebenernya aku lg uas era tp burnout trs mau liat update cokipop ku yg udh ketinggalan banyak bgt itu,Negatif
aku break duluu selamaaa liburan ini refreshing otak dulu takut burnout soalnya,Negatif
calm down pelan pelan satu satu jangan sampe burnout,Negatif
di fase burnout lagi tiba2 ngerasa capek pikiran dan gatau kenapa tiba2 gampang panick attack,Negatif
sumpah ga jadi jadi belajar krna burnout  ini gmn yaaa.. mana besok udah libur terakhir,Negatif
kalo lg musim ujian gini apu paling tau harus ngapain burnout bawa gua jalan2 ntah kemana sejam dua jam muter2 jg gpp - supaya ga terganggu kesehatan mnetal gw,Negatif
Ini gw lagi burnout aja atau emang udah toxic lingkungannya,Negatif
Males bgtt pasti klo materi pelajaran gk masuk mesti lagi burnout or somethingg.. istirahat bentar dehh,Negatif
lagi burnout jadi bingung mau nyelesaiin yg mna duluan,Negatif
ih burnout banget gue ama kerjaan,Negatif
2025 dua kali burnout  dua kali ke dokter karena stress sekarang ditambah di telpon-telpon spam call. Oalah jadi WNI asu.,Negatif
YAKAAANNN. makannyaaa thank you for the tips yaaay tapi aku mau nyicil juga kepikiran takut burnout pas kuliahnya hdue agaknya better nyantai dulu aja gak sich.,Negatif
Biasanya di web fakultasnya ada si kayak matkulnya apa aja Klo nyicil wow belum kepikiran takut burnout sebelum kuliah,Negatif
titik meng stress? pake headset tp ga setel apa  cuman mau mendiamkan suara dr luar pre burnout ? idk man,Negatif
Tips2 dong biar ga burnout  Gw ngerasa makin jutek,Negatif
stuck bgt di titik jenuh yg ngga tau kapan keluar ? Burnout,Negatif
kgn ikut diklat pendidikan. 5 hari berturut turut isinya cuman belajar. bener,Negatif
karena kalo kamu terus-terusan nanggung semua beban sendiri kamu takutnya malah jatuh sakit atau burnout . kamu hebat banget udah bertahan sejauh ini sih  terima kasih ya nder bener-bener makasih karena kamu nggak nyerah meskipun keadaannya seberat ini,Negatif
Kalo aku lebih ke capek burnout  kadang udah gaada tenaga buat nyentuh dapur saking hecticnya kerjaan. Kalo males bikin mie nugget atau ngolah frozen food ya beli diluar. Toh hasil kerja juga ada duitnya. Life your own life deh mendingan kan kamu se-ga males itu.,Negatif
